S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Directional Deformation (mm)
0.	255.	0.3	0.	-99.421
5.2083	249.79	0.3	0.	-97.468
10.417	244.58	0.3	0.	-95.412
15.625	239.38	0.3	0.	-93.329
20.833	234.17	0.3	0.	-91.244
26.042	228.96	0.3	0.	-89.159
31.25	223.75	0.3	0.	-87.076
36.458	218.54	0.3	0.	-84.992
41.667	213.33	0.3	0.	-82.909
46.875	208.13	0.3	0.	-80.827
52.083	202.92	0.3	0.	-78.744
57.292	197.71	0.3	0.	-76.663
62.5	192.5	0.3	0.	-74.582
67.708	187.29	0.3	0.	-72.501
72.917	182.08	0.3	0.	-70.42
78.125	176.88	0.3	0.	-68.34
83.333	171.67	0.3	0.	-66.261
88.542	166.46	0.3	0.	-64.181
93.75	161.25	0.3	0.	-62.103
98.958	156.04	0.3	0.	-60.024
104.17	150.83	0.3	0.	-57.947
109.38	145.63	0.3	0.	-55.869
114.58	140.42	0.3	0.	-53.792
119.79	135.21	0.3	0.	-51.715
125.	130.	0.3	0.	-49.639
130.21	124.79	0.3	0.	-47.563
135.42	119.58	0.3	0.	-45.488
140.63	114.38	0.3	0.	-43.413
145.83	109.17	0.3	0.	-41.339
151.04	103.96	0.3	0.	-39.265
156.25	98.75	0.3	0.	-37.191
161.46	93.542	0.3	0.	-35.118
166.67	88.333	0.3	0.	-33.045
171.88	83.125	0.3	0.	-30.973
177.08	77.917	0.3	0.	-28.901
182.29	72.708	0.3	0.	-26.829
187.5	67.5	0.3	0.	-24.758
192.71	62.292	0.3	0.	-22.687
197.92	57.083	0.3	0.	-20.617
203.13	51.875	0.3	0.	-18.547
208.33	46.667	0.3	0.	-16.478
213.54	41.458	0.3	0.	-14.409
218.75	36.25	0.3	0.	-12.34
223.96	31.042	0.3	0.	-10.272
229.17	25.833	0.3	0.	-8.2039
234.38	20.625	0.3	0.	-6.1384
239.58	15.417	0.3	0.	-4.0917
244.79	10.208	0.3	0.	-2.1142
250.	5.	0.3	0.	-4.075e-016
