S (mm)	X Coordinate (mm)	Y Coordinate (mm)	Z Coordinate (mm)	Directional Deformation (mm)
0.	255.	0.3	0.	94.362
5.2083	249.79	0.3	0.	85.039
10.417	244.58	0.3	0.	76.267
15.625	239.38	0.3	0.	68.026
20.833	234.17	0.3	0.	60.297
26.042	228.96	0.3	0.	53.064
31.25	223.75	0.3	0.	46.31
36.458	218.54	0.3	0.	40.02
41.667	213.33	0.3	0.	34.179
46.875	208.13	0.3	0.	28.774
52.083	202.92	0.3	0.	23.788
57.292	197.71	0.3	0.	19.207
62.5	192.5	0.3	0.	15.017
67.708	187.29	0.3	0.	11.203
72.917	182.08	0.3	0.	7.7492
78.125	176.88	0.3	0.	4.6422
83.333	171.67	0.3	0.	1.8667
88.542	166.46	0.3	0.	-0.59189
93.75	161.25	0.3	0.	-2.7484
98.958	156.04	0.3	0.	-4.6174
104.17	150.83	0.3	0.	-6.2137
109.38	145.63	0.3	0.	-7.5521
114.58	140.42	0.3	0.	-8.6472
119.79	135.21	0.3	0.	-9.5138
125.	130.	0.3	0.	-10.167
130.21	124.79	0.3	0.	-10.62
135.42	119.58	0.3	0.	-10.89
140.63	114.38	0.3	0.	-10.989
145.83	109.17	0.3	0.	-10.934
151.04	103.96	0.3	0.	-10.739
156.25	98.75	0.3	0.	-10.418
161.46	93.542	0.3	0.	-9.9862
166.67	88.333	0.3	0.	-9.4585
171.88	83.125	0.3	0.	-8.8495
177.08	77.917	0.3	0.	-8.174
182.29	72.708	0.3	0.	-7.4465
187.5	67.5	0.3	0.	-6.682
192.71	62.292	0.3	0.	-5.895
197.92	57.083	0.3	0.	-5.1003
203.13	51.875	0.3	0.	-4.3127
208.33	46.667	0.3	0.	-3.5468
213.54	41.458	0.3	0.	-2.8174
218.75	36.25	0.3	0.	-2.1393
223.96	31.042	0.3	0.	-1.5271
229.17	25.833	0.3	0.	-0.99574
234.38	20.625	0.3	0.	-0.56023
239.58	15.417	0.3	0.	-0.23621
244.79	10.208	0.3	0.	-4.0548e-002
250.	5.	0.3	0.	1.0924e-016
